data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
6665665,144,SRI3902,3902,"11 December 2019",2019,1,Riots,"Violent demonstration","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Former Government of Sri Lanka (2015-)",7,57,"Southern Asia","Sri Lanka",Western,Kalutara,Panadura,Panadura,6.7132,79.9026,1,"Hiru News",National,"On December 11, a group of demonstrators assaulted a former governor in Panadura town (Panadura, Kalutara district). The demonstrators were against a meeting that the former governor was a part of. [size=no report]",0,1576604761,LKA
6665869,144,SRI3914,3914,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Mannar,Mannar,Mannar,8.9894,79.8784,2,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest near Mannar city (Mannar, Mannar district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6665870,144,SRI3901,3901,"10 December 2019",2019,1,"Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Sri Lanka)",,3,"Civilians (Sri Lanka)","Government of Sri Lanka (2019-)",7,37,"Southern Asia","Sri Lanka",Sabaragamuwa,Kegalle,Mawanella,Mawanella,7.2519,80.4453,1,"Tamil Guardian",International,"On December 10, a group of at least three persons allegedly abducted Mawanella Pradeshiya Sabha member, Chandana Ruwan Kumara, in Mawanella city (Mawanella, Kegalle district). Police have arrested three persons in connection with the incident.",0,1576604761,LKA
6665871,144,SRI3918,3918,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Eastern,Ampara,Ampara,Ampara,7.2975,81.682,2,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest near Ampara city (Ampara, Ampara district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6665873,144,SRI3916,3916,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Eastern,Trincomalee,"Trincomalee Town and Gravets",Trincomalee,8.5711,81.2335,2,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest near Trincomalee city (Trincomalee Town and Gravets, Trincomalee district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6665874,144,SRI3913,3913,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Vavuniya,"Vavuniya South",Vavuniya,8.7514,80.4971,1,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest in Vavuniya city (Vavuniya South, Vavuniya district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6665875,144,SRI3921,3921,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka); TNA: Tamil National Alliance; TNPF: Tamil National People's Front",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Mullaitivu,Maritimepattu,Mullaitivu,9.268,80.815,1,"Tamil Guardian",International,"On December 10, hundreds of Tamil families of the disappeared, along with politicians from Tamil National Alliance and Tamil National People's Front, staged a protest in Mullaitivu City (Maritimepattu, Mullaitivu district). The protesters were demanding justice for their disappeared family members. [size=hundreds]",0,1576604761,LKA
6665876,144,SRI3915,3915,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Kilinochchi,Karachchi,Kilinochchi,9.3961,80.3982,2,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest near Kilinochchi city (Karachchi, Kilinochchi district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6665877,144,SRI3917,3917,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Eastern,Batticaloa,"Manmunai North",Batticaloa,7.7102,81.6924,2,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest near Batticaloa city (Manmunai North, Batticaloa district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6665878,144,SRI3912,3912,"10 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Jaffna,Jaffna,Jaffna,9.6685,80.0074,1,"Tamil Guardian",International,"On December 10, Tamil families of the disappeared staged a protest in front of the Office of Missing Persons in Jaffna city (Jaffna, Jaffna district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1576604761,LKA
6666044,144,SRI3900,3900,"09 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Women (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Vavuniya,"Vavuniya South",Vavuniya,8.7514,80.4971,2,Virakesari,National,"On December 9, more than 50 women staged a protest in Thekka Watta village near Vavuniya city (Vavuniya South, Vavuniya district). The protesters were demanding better police actions in controlling the sale of illegal drugs in their communities. [size=more than 50]",0,1576604762,LKA
6665662,144,SRI3899,3899,"09 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka","North Western",Puttalam,Vanathavilluwa,Vanathavilluwa,8.1885,79.8599,1,"Hiru News",National,"On December 9, a group of residents continued their protest in Vanathavilluwa DS office in Vanathavilluwa town (Vanathavilluwa, Puttalam district). The protesters were dissatisfied with disposal of garbage at Arawakkalu landfill, which is close to their homes. [size=no report]",0,1576604761,LKA
6665868,144,SRI3898,3898,"08 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka",Northern,Jaffna,"Vadamaradchy North","Point Pedro",9.8166,80.2333,1,"Tamil Guardian",International,"On December 8, a group of residents staged a protest in Point Pedro town (Vadamaradchy North, Jaffna district). The protesters were dissatisfied with illegal sand mining operations happening in their area. [size=no report]",0,1576604761,LKA
6665663,144,SRI3897,3897,"08 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka","North Western",Puttalam,Vanathavilluwa,Vanathavilluwa,8.1885,79.8599,1,"Hiru News",National,"On December 8, a group of residents staged a protest in Vanathavilluwa DS office in Vanathavilluwa town (Vanathavilluwa, Puttalam district). The protesters were dissatisfied with disposal of garbage at Arawakkalu landfill, which is close to their home. [size=no report]",0,1576604761,LKA
6665666,144,SRI3896,3896,"08 December 2019",2019,1,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Police Forces of Sri Lanka (2019-)",7,57,"Southern Asia","Sri Lanka","North Western",Puttalam,Anamaduwa,Anamaduwa,7.8786,80.008,1,"Hiru News",National,"On December 8, a group of three men assaulted two off-duty police constables in a restaurant in Anamaduwa town (Anamaduwa, Puttalam district). The culprits have been apprehended, and police are carrying out further investigations. [size=3]",0,1576604761,LKA
6665761,144,SRI3911,3911,"07 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","SLPP: Sri Lanka People's Front",6,,,0,60,"Southern Asia","Sri Lanka","North Western",Puttalam,Vanathavilluwa,Vanathavilluwa,8.1885,79.8599,1,"News1st (Sri Lanka)",National,"On December 7, members of the Sri Lanka People's Front (SLPP) staged a protest in Vanathavilluwa town (Vanathavilluwa, Puttalam district). The protesters were against the disposal of garbage at the Arawakkalu landfill. [size=no report]",0,1576604761,LKA
6409090,144,SRI3895,3895,"07 December 2019",2019,2,Riots,"Mob violence","Rioters (Sri Lanka)","Labour Group (Sri Lanka)",5,"Rioters (Sri Lanka)","Labour Group (Sri Lanka)",5,55,"Southern Asia","Sri Lanka",Northern,Vavuniya,"Vavuniya South",Vavuniya,8.7514,80.4971,1,Virakesari,National,"As reported on December 7, a clash ensued between bus drivers of government run buses and privately run buses in Vavuniya city (Vavuniya South, Vavuniya district). The clash was due to the long standing problems of the public and private transport sector. [size=no report]",0,1575991058,LKA
6409091,144,SRI3894,3894,"06 December 2019",2019,2,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka",Eastern,Batticaloa,Kattankudy,Kattankudy,7.6824,81.7334,1,Virakesari,National,"As reported on December 6, a group of protesters staged a protest in Kattankudy town (Kattankudy, Batticaloa district). The protesters, who were fearful of their town being flooded due to excessive rain, were demanding that the local canal gates be opened, to prevent flooding. [size=no report]",0,1575991058,LKA
6408870,144,SRI3893,3893,"06 December 2019",2019,1,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Journalists (Sri Lanka)",7,57,"Southern Asia","Sri Lanka",Western,Kalutara,Beruwala,Aluthgama,6.4333,79.9997,1,Lankadeepa,National,"On December 6, a mob assaulted and injured a journalist and his wife in Aluthgama locality (Beruwala, Kalutara district). The victims are currently receiving treatment at Aluthgama Hospital. Further investigation of the incident is ongoing. [size=no report]",0,1575991058,LKA
6409092,144,SRI3892,3892,"05 December 2019",2019,2,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka",Northern,Jaffna,Jaffna,Jaffna,9.6685,80.0074,2,Virakesari,National,"As reported on December 5, a group of residents staged a protest in Mallakam Village near Jaffna city (Jaffna, Jaffna district). The protesters were demanding the removal of a cemetery, which is close to their houses. [size=no report]",0,1575991058,LKA
6409097,144,SRI3885,3885,"05 December 2019",2019,2,Protests,"Peaceful protest","Protesters (Sri Lanka)","Farmers (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Central,"Nuwara Eliya","Nuwara Eliya","Nuwara Eliya",6.9707,80.7828,2,"World Socialist Web Site",International,"As reported on December 5, tea plantation workers staged a protest near Alton Estate in Nuwara Eliya area (Nuwara Eliya, Nuwara Eliya district). The protesters were dissatisfied with the estate management refusing to take their plucked tea, after the workers worked without carrying digital identity cards. [size=no report]",0,1575991058,LKA
6408823,144,SRI3888,3888,"04 December 2019",2019,2,Protests,"Peaceful protest","Protesters (Sri Lanka)","Students (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Western,Colombo,"Sri Jayawardanapura Kotte",Nugegoda,6.8735,79.8899,1,"Hiru News",National,"As reported on December 4, a group of university students staged a protest march in Nugegoda suburb (Sri Jayawardanapura Kotte, Colombo district). The students were demanding solutions to hostel facility issues. [size=no report]",0,1575991058,LKA
6408906,144,SRI3887,3887,"04 December 2019",2019,2,Protests,"Protest with intervention","Protesters (Sri Lanka)","Labour Group (Sri Lanka)",6,"Police Forces of Sri Lanka (2015-)",,1,16,"Southern Asia","Sri Lanka",Central,Matale,Matale,Matale,7.4698,80.6217,1,"News1st (Sri Lanka)",National,"As reported on December 4, police dispersed the employees of the Matale Municipal Council, who were staging a protest in front of the Clock tower in Matale city (Matale, Matale district). The protesters were demanding culprits behind an assault of two of their fellow workers to be arrested. [size=no report]",0,1575991058,LKA
6408907,144,SRI3886,3886,"04 December 2019",2019,2,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Civilians (Sri Lanka)","Labour Group (Sri Lanka)",7,57,"Southern Asia","Sri Lanka",Central,Matale,Matale,Matale,7.4698,80.6217,1,"News1st (Sri Lanka)",National,"As reported on December 4, a mob allegedly attacked two employees of the Municipal Council and damaged fogging machines near the Edward Park Grounds in Matale city (Matale, Matale district). The two Municipal Council employees were working as part of the Dengue Eradication Program. [size=no report]",0,1575991058,LKA
6408822,144,SRI3891,3891,"03 December 2019",2019,2,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka","North Central",Polonnaruwa,Elahera,Bakamuna,7.7833,80.8167,1,"Hiru News",National,"As reported on December 3, a group of residents staged a protest in Bakamuna town (Elahera, Polonnaruwa district). The protesters were demanding solutions to the wild elephant menace, which has been disturbing their daily life. [size=no report]",0,1575991058,LKA
6408824,144,SRI3890,3890,"03 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka",Central,"Nuwara Eliya",Walapane,Walapane,7.095,80.8607,1,"Hiru News",National,"On December 3, a group of protesters staged a protest in Walapane town (Walapane, Nuwara Eliya district). The protesters were demanding for the removal of a quarry, which had caused deaths of three persons due to landslides. [size=no report]",0,1575991058,LKA
6409093,144,SRI3882,3882,"03 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Buddhist Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Sabaragamuwa,Ratnapura,Embilipitiya,Pallebedda,6.4544,80.7388,1,Virakesari,National,"On December 3, Buddhist monks and locals staged a protest in front of a local restaurant in Pallebedda town (Embilipitiya, Ratnapura district). The protesters were accusing the restaurant personnel of attempting to convert Buddhists to a different religion. [size=no report]",0,1575991058,LKA
6409094,144,SRI3889,3889,"02 December 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Vavuniya,"Vavuniya South",Vavuniya,8.7514,80.4971,1,Virakesari,National,"On December 2, Tamil families of persons subjected to enforced disappearance staged a protest in Vavuniya City (Vavuniya South, Vavuniya district). The protesters were demanding justice for their disappeared family members. [size=no report]",0,1575991058,LKA
6402498,144,SRI3881,3881,"30 November 2019",2019,1,"Strategic developments","Disrupted weapons use","Police Forces of Sri Lanka (2015-) Special Task Force",,1,"Unidentified Armed Group (Sri Lanka)",,3,13,"Southern Asia","Sri Lanka",Eastern,Batticaloa,"Manmunai North",Batticaloa,7.7102,81.6924,1,Virakesari,National,"On November 30, Sri Lanka Police - Special Task Force uncovered a large haul of hand grenades in Batticaloa city (Manmunai North, Batticaloa district). Police are carrying out further investigations into the matter.",0,1575400836,LKA
6409095,144,SRI3884,3884,"29 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Farmers (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,"World Socialist Web Site",International,"On November 29, a group of tea plantation workers staged a protest march in Colombo city (Colombo, Colombo district). The protesters were dissatisfied with the introduction of digital identity cards and an electronic weighing machine system. [size=no report]",0,1575991058,LKA
6409096,144,SRI3883,3883,"29 November 2019",2019,1,Protests,"Protest with intervention","Protesters (Sri Lanka)","Farmers (Sri Lanka)",6,"Police Forces of Sri Lanka (2015-)",,1,16,"Southern Asia","Sri Lanka",Central,"Nuwara Eliya",Ambagamuwa,Maskeliya,6.8333,80.5722,1,"World Socialist Web Site",International,"On November 29, police intervened in a protest march organized by about 300 tea plantation workers in Maskeliya town (Ambagamuwa, Nuwara Eliya district). The protesters were demanding solutions to their salary anomalies. [size=about 300]",0,1575991058,LKA
6401861,144,SRI3879,3879,"28 November 2019",2019,2,"Violence against civilians","Abduction/forced disappearance","Unidentified Armed Group (Sri Lanka)",,3,"Civilians (Sri Lanka)","Labour Group (Sri Lanka)",7,37,"Southern Asia","Sri Lanka",Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,"Ada Derana",National,"As reported on November 28, an unidentified group abducted a Sri Lankan staff member of the Embassy of Switzerland in Colombo city (Colombo, Colombo district), to disclose certain embassy-related information. Police are carrying out investigations into the matter.",0,1575400835,LKA
6402497,144,SRI3877,3877,"28 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Farmers (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Central,"Nuwara Eliya","Nuwara Eliya",Talawakelle,6.9355,80.6498,1,Virakesari,National,"On November 28, more than 100 plantation workers staged a protest in Talawakelle town (Talawakelle, Nuwara Eliya district). The protesters were demanding solutions to their salary anomalies. [size=more than 100]",0,1575400836,LKA
6402377,144,SRI3878,3878,"27 November 2019",2019,1,Riots,"Violent demonstration","Rioters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka); Students (Sri Lanka)",5,,,0,50,"Southern Asia","Sri Lanka",Northern,Jaffna,Nallur,Kokkuvil,9.6959,80.023,1,"Tamil Guardian",International,"On November 27, hundreds of Tamil students vandalized the gates of Jaffna University to commemorate Maaveerar Naal (Tamil Heroes Day) in Kokkuvil city (Nallur, Jaffna district). The students defied the ban placed by the university authorities to observe the remembrance ceremony on campus premises and forcefully entered the vicinity. [size=hundreds]",0,1575400836,LKA
6401985,144,SRI3876,3876,"26 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Labour Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Central,"Nuwara Eliya",Ambagamuwa,Maskeliya,6.8333,80.5722,1,"Colombo Page",National,"On November 26, staff members of eight tea estates staged a protest at Mousakelle Junction in Makeliya town (Ambagamuwa, Nuwara Eliya district). The protesters were demanding revisions to their salaries. [size=no report]",0,1575400835,LKA
6401999,144,SRI3880,3880,"26 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka","North Central",Anuradhapura,Kahatagasdigiliya,Kahatagasdigiliya,8.4214,80.6865,2,"Daily Mirror (Sri Lanka)",National,"On November 26, a group of protesters staged a protest in Rathmalgahawewa Junction near the Kahatagasdigiliya area (Kahatagasdigiliya, Anuradhapura district). The protesters were dissatisfied with the inaction of Kahatagasdigiliya Police in carrying out proper investigations against two tipper drivers who were driving their vehicles recklessly. [size=no report]",0,1575400835,LKA
6402187,144,SRI3874,3874,"25 November 2019",2019,1,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Rioters (Sri Lanka)","ACMC: All Ceylon Makkal Congress; Former Government of Sri Lanka (2015-)",5,55,"Southern Asia","Sri Lanka","North Western",Puttalam,Mundalama,Mundalama,7.7977,79.8224,1,"Hiru News",National,"On November 25, a clash ensued between the supporters of a former Pradeshiya Sabha member and a group led by former Minister Rishard Bathiudeen of All Ceylon Makkal Congress party in Mundalama town (Mundalama, Puttalam district). The incident, in which both groups suffered damages to their vehicles, is being investigated by the Police. [size=no report]",0,1575400836,LKA
6402188,144,SRI3875,3875,"25 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Labour Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Central,"Nuwara Eliya","Nuwara Eliya",Talawakelle,6.9355,80.6498,2,"Hiru News",National,"On November 25, bus operators staged a protest on the Nuwara Eliya - Talawakelle main road near Talawakelle town (Nuwara Eliya, Nuwara Eliya district). The bus operators were dissatisfied with renovation work on their normal route, which caused hindrance in operating their buses. [size=no report]",0,1575400836,LKA
6385665,144,SRI3873,3873,"22 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Former Military Forces of Sri Lanka (2015-)",6,,,0,60,"Southern Asia","Sri Lanka",Western,Colombo,"Sri Jayawardanapura Kotte","Sri Jayawardenepura Kotte",6.883,79.9071,1,"Hiru News",National,"On November 22, a protest was staged by former disabled army personnel in front of the headquarter of United National Party (UNP) in Sri Jayawardenepura Kotte locality (Sri Jayawardenepura Kotte, Colombo district). The protest was staged to demand the resignation of former Prime Minister Ranil Wickremesinghe from the party leadership, and let MP Sajith Premadasa to take over the role. [size=no report]",0,1574786217,LKA
6385531,144,SRI3872,3872,"21 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Sinhalese Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Western,Colombo,Colombo,Colombo,6.9319,79.8478,1,"Daily Financial Times (Sri Lanka)",National,"On November 21, a large group of civil activists and Sinhalese religious leaders held a protest in front of the British High Commission in Colombo City (Colombo, Colombo district). The protesters were dissatisfied with a recent BBC News Report regarding President Gotabaya Rajapaksa. [size=large group]",0,1574786217,LKA
6385666,144,SRI3870,3870,"20 November 2019",2019,2,"Strategic developments","Disrupted weapons use","Police Forces of Sri Lanka (2015-) Special Task Force",,1,"Unidentified Armed Group (Sri Lanka)",,3,13,"Southern Asia","Sri Lanka",Northern,Mullaitivu,Puthukudiyiruppu,Puthukudiyiruppu,9.3106,80.6946,1,"Hiru News",National,"As reported on November 20, Sri Lanka Special Task Force recovered a large haul of explosives in Puthukudiyiruppu town (Puthukudiyiruppu, Mullaitivu district). Police are carrying out further investigation into the matter.",0,1574786217,LKA
6385965,144,SRI3871,3871,"20 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)","Tamil Ethnic Group (Sri Lanka)",6,,,0,60,"Southern Asia","Sri Lanka",Northern,Vavuniya,"Vavuniya South",Vavuniya,8.7514,80.4971,1,Virakesari,National,"On November 20, Tamil families of the disappeared and missing persons staged a protest in front of Vavuniya Road Development Department in Vavuniya town (Vavuniya South, Vavuniya). The protesters were demanding answers to their missing family members, and demanding the newly elected president make efforts to investigate the whereabouts of the missing persons. [size=no report]",0,1574786218,LKA
6385715,144,SRI3869,3869,"18 November 2019",2019,1,Protests,"Peaceful protest","Protesters (Sri Lanka)",,6,,,0,60,"Southern Asia","Sri Lanka","North Western",Puttalam,Anamaduwa,Anamaduwa,7.8786,80.008,1,"News1st (Sri Lanka)",National,"On November 18, a protest was staged in front of Pallama Police Station in Anamaduwa town (Anamaduwa, Puttalam district). The protesters were demanding the police to make arrests in the case involving the clash between Sri Lanka People's Front (SLPP) supporters and another group earlier in the day. [size=no report]",0,1574786217,LKA
6385716,144,SRI3867,3867,"18 November 2019",2019,1,Riots,"Mob violence","Rioters (Sri Lanka)",,5,"Rioters (Sri Lanka)","SLPP: Sri Lanka People's Front",5,55,"Southern Asia","Sri Lanka","North Western",Puttalam,Pallama,Pallama,7.6841,79.9183,1,"News1st (Sri Lanka)",National,"On November 18, supporters of Sri Lanka People's Front (SLPP) and an unidentified group, supposedly supporters of the opposition party, clashed in Pallama town (Pallama, Puttalam district). The incident, in which one person was injured and hospitalized, ensued after the unknown group was dissatisfied with SLPP supporters for celebrating election results. [size=no report]",0,1574786217,LKA
